Name,Age,Occupation,Grouping,Hometown,Season
Ryan Sutter,29,Firefighter,Public Service,Colorado,1
Ian McKee,29,Equity Research Sales,Business,New York,2
Jesse Csincsak,26,Professional snowboarder,Athletics,Colorado,4
Ed Swiderski,29,Technology Consultant,Business,Michigan,5
Roberto Martinez,26,Insurance Agent,Business,Florida,6
J.P. Rosenbaum,34,Construction Manager,Business,New York,7
Jef Holm,27,Entrepreneur,Business,Utah,8
Chris Siegfried,27,Mortgage Broker,Business,Oregon,9
Josh Murray,29,Former Professional Baseball Player,Athletics,Georgia,10
Shawn Booth,28,Personal Trainer,Athletics,Connecticut,11
Jordan Rodgers,27,Former Pro Quarterback,Athletics,California,12
